case,detector,detected,confidence,mean_corner_error_px,latency_median_us,correct,status
clean_skewed,contour,true,0.8670,2.766,24409,true,ok
clean_skewed,hough,true,0.9616,2.364,13623,true,ok
clean_skewed,hybrid,true,0.9078,2.060,38129,true,ok
low_contrast,contour,true,0.9103,2.179,24521,true,ok
low_contrast,hough,false,0.0000,,13291,false,ok
low_contrast,hybrid,true,0.9103,2.179,24485,true,ok
broken_outline,contour,true,0.8760,2.621,24462,true,ok
broken_outline,hough,true,0.9521,1.240,13671,true,ok
broken_outline,hybrid,true,0.9138,1.849,38220,true,ok
clutter_grid_no_document,contour,false,0.0000,,28149,true,ok
clutter_grid_no_document,hough,false,0.0000,,13933,true,ok
clutter_grid_no_document,hybrid,false,0.0000,,42251,true,ok
blank,contour,false,0.0000,,23870,true,ok
blank,hough,false,0.0000,,13017,true,ok
blank,hybrid,false,0.0000,,36940,true,ok
nested_rectangles,contour,true,0.8774,,24985,false,ok
nested_rectangles,hough,true,0.9639,,14110,false,ok
nested_rectangles,hybrid,true,0.9121,,39286,false,ok
small_resolution,contour,false,0.0000,,1767,false,ok
small_resolution,hough,false,0.0000,,1637,false,ok
small_resolution,hybrid,false,0.0000,,3532,false,ok
