case,detector,detected,confidence,mean_corner_error_px,latency_median_us,correct,status
clean_skewed,contour,true,0.8670,2.766,24548,true,ok
clean_skewed,hough,false,0.0000,,12628,false,panic
clean_skewed,hybrid,false,0.0000,,37533,false,panic
low_contrast,contour,true,0.9103,2.179,24578,true,ok
low_contrast,hough,false,0.0000,,13310,false,ok
low_contrast,hybrid,true,0.9103,2.179,24586,true,ok
broken_outline,contour,true,0.8760,2.621,24347,true,ok
broken_outline,hough,false,0.0000,,12678,false,panic
broken_outline,hybrid,false,0.0000,,36828,false,panic
clutter_grid_no_document,contour,false,0.0000,,28052,true,ok
clutter_grid_no_document,hough,false,0.0000,,14099,true,ok
clutter_grid_no_document,hybrid,false,0.0000,,43134,true,ok
blank,contour,false,0.0000,,23973,true,ok
blank,hough,false,0.0000,,13264,true,ok
blank,hybrid,false,0.0000,,37143,true,ok
nested_rectangles,contour,true,0.8774,,25004,false,ok
nested_rectangles,hough,false,0.0000,,12740,false,panic
nested_rectangles,hybrid,false,0.0000,,37736,false,panic
small_resolution,contour,false,0.0000,,1745,false,ok
small_resolution,hough,false,0.0000,,1259,false,panic
small_resolution,hybrid,false,0.0000,,2994,false,panic
