case,detector,detected,confidence,mean_corner_error_px,latency_median_us,correct,status
clean_skewed,contour,true,0.7277,2.766,24603,true,ok
clean_skewed,hough,true,0.9611,2.364,13775,true,ok
clean_skewed,hybrid,true,0.9469,2.364,38210,true,ok
low_contrast,contour,true,0.8481,2.179,24284,true,ok
low_contrast,hough,false,0.0000,,13145,false,ok
low_contrast,hybrid,true,0.8481,2.179,37831,true,ok
broken_outline,contour,true,0.7686,2.621,24588,true,ok
broken_outline,hough,true,0.9509,1.240,13639,true,ok
broken_outline,hybrid,true,0.9449,1.240,38409,true,ok
clutter_grid_no_document,contour,false,0.0000,,28298,true,ok
clutter_grid_no_document,hough,false,0.0000,,15116,true,ok
clutter_grid_no_document,hybrid,false,0.0000,,42340,true,ok
blank,contour,false,0.0000,,23931,true,ok
blank,hough,false,0.0000,,13103,true,ok
blank,hybrid,false,0.0000,,37137,true,ok
nested_rectangles,contour,true,0.8467,,25224,false,ok
nested_rectangles,hough,true,0.9634,,13861,false,ok
nested_rectangles,hybrid,true,0.9480,,39004,false,ok
small_resolution,contour,false,0.0000,,1728,false,ok
small_resolution,hough,true,0.9858,0.925,1656,true,ok
small_resolution,hybrid,true,0.9858,0.925,3414,true,ok
